type,material,length,width,height,volume,mass_kg,approved
Slab,concrete,7.28,0.35,0.36,0.917,2292.5,1
Footing,concrete,5.82,0.63,0.34,1.247,3117.5,1
Beam,concrete,3.79,0.9,0.11,0.375,937.5,1
Slab,steel,8.32,0.79,0.27,1.775,13933.8,0
Slab,concrete,7.16,0.85,0.29,1.765,4412.5,1
Footing,concrete,2.46,0.73,0.3,0.539,1347.5,1
Beam,steel,9.2,0.75,0.39,2.691,21124.4,0
Beam,concrete,8.4,0.88,0.37,2.735,6837.5,0
Slab,steel,9.55,0.4,0.4,1.528,11994.8,0
Column,steel,7.53,0.59,0.48,2.132,16736.2,0
Slab,concrete,6.52,0.38,0.51,1.264,3160.0,1
Slab,steel,4.76,0.99,0.46,2.168,17018.8,0
Slab,concrete,9.39,0.96,0.58,5.228,13070.0,0
Slab,steel,8.79,0.23,0.11,0.222,1742.7,1
Footing,steel,1.41,0.76,0.2,0.214,1679.9,1
Beam,concrete,1.24,0.94,0.1,0.117,292.5,1
Footing,steel,4.39,0.34,0.42,0.627,4922.0,1
Footing,steel,8.29,0.65,0.55,2.964,23267.4,0
Footing,steel,9.89,0.93,0.22,2.023,15880.6,0
Slab,steel,2.35,0.23,0.56,0.303,2378.5,1
Column,steel,6.35,0.76,0.13,0.627,4922.0,1
Beam,concrete,4.43,0.44,0.57,1.111,2777.5,1
Column,steel,9.73,0.94,0.28,2.561,20103.8,0
Footing,concrete,8.58,0.98,0.15,1.261,3152.5,1
Footing,steel,8.54,0.96,0.34,2.787,21878.0,0
Column,concrete,5.22,0.58,0.23,0.696,1740.0,1
Column,concrete,4.73,0.89,0.24,1.01,2525.0,1
Column,steel,3.46,0.88,0.25,0.761,5973.8,0
Footing,steel,1.51,0.46,0.5,0.347,2724.0,1
Footing,steel,8.78,0.86,0.37,2.794,21932.9,0
Beam,concrete,8.32,0.23,0.26,0.498,1245.0,1
Beam,steel,10.0,0.68,0.41,2.788,21885.8,0
Footing,concrete,9.97,0.38,0.46,1.743,4357.5,1
Column,concrete,6.0,0.3,0.24,0.432,1080.0,1
Column,concrete,7.92,0.26,0.31,0.638,1595.0,1
Beam,steel,9.5,0.76,0.16,1.155,9066.8,0
Footing,steel,8.65,0.47,0.19,0.772,6060.2,0
Beam,concrete,3.23,0.78,0.44,1.109,2772.5,1
Beam,concrete,5.05,0.25,0.19,0.24,600.0,1
Slab,steel,2.16,0.45,0.36,0.35,2747.5,1
Slab,concrete,9.59,0.63,0.45,2.719,6797.5,0
Slab,steel,6.46,0.83,0.15,0.804,6311.4,0
Column,concrete,3.06,0.46,0.38,0.535,1337.5,1
Footing,steel,7.05,0.7,0.23,1.135,8909.8,0
Footing,concrete,6.56,0.91,0.58,3.462,8655.0,0
Footing,steel,4.22,0.69,0.34,0.99,7771.5,0
Footing,concrete,2.02,0.39,0.5,0.394,985.0,1
Slab,steel,7.04,0.22,0.38,0.589,4623.6,1
Column,steel,5.68,0.9,0.12,0.613,4812.0,1
Column,concrete,7.95,0.22,0.42,0.735,1837.5,1
Slab,concrete,5.68,0.9,0.58,2.965,7412.5,0
Column,steel,8.67,0.62,0.4,2.15,16877.5,0
Slab,concrete,5.97,0.95,0.51,2.892,7230.0,0
Footing,steel,6.05,0.84,0.54,2.744,21540.4,0
Slab,concrete,8.89,1.0,0.21,1.867,4667.5,1
Footing,steel,4.63,0.48,0.21,0.467,3666.0,1
Footing,steel,2.21,0.81,0.41,0.734,5761.9,0
